Entity_LogicalId,Entity_EU_ReferenceNumber,Entity_SubjectType,Entity_SubjectType_ClassificationCode,Citizenship_CountryIso2Code,Citizenship_Remark
3795,EU.3880.19,P,person,IR,
3798,EU.3887.65,P,person,IR,
3801,EU.3888.30,P,person,IR,
3803,EU.3916.58,P,person,IR,
3808,EU.3927.24,P,person,IR,
3960,EU.1693.80,P,person,LY,
3962,EU.1743.40,P,person,LY,
4000,EU.1786.36,P,person,DZ,
4020,EU.1787.1,P,person,AF,
4140,EU.1742.75,P,person,KW,
4141,EU.1790.53,P,person,KW,
4142,EU.1649.59,P,person,KW,
4292,EU.3874.72,P,person,IR,
4300,EU.3774.10,P,person,IR,
4686,EU.3735.68,P,person,RW,
5240,EU.1493.53,P,person,PH,
5260,EU.1530.20,P,person,PH,
5261,EU.1736.31,P,person,PH,
5262,EU.1620.81,P,person,PH,
5263,EU.1628.92,P,person,PH,
5264,EU.1679.62,P,person,PH,
5265,EU.4047.51,P,person,PH,
5266,EU.2122.90,P,person,PH,
5270,EU.2160.67,P,person,IR,
5273,EU.2172.95,P,person,IR,
5277,EU.2176.52,P,person,IR,
5279,EU.2216.11,P,person,IR,
5280,EU.2222.55,P,person,IR,
5292,EU.2154.23,P,person,DZ,
5293,EU.2167.16,P,person,DZ,
5294,EU.3342.23,P,person,DZ,
5295,EU.2026.82,P,person,DZ,
5352,EU.2257.77,P,person,DE,
5352,EU.2257.77,P,person,MA,
5357,EU.2158.77,P,person,TR,
5416,EU.2168.78,P,person,PK,
5417,EU.2169.43,P,person,SA,
5418,EU.2170.68,P,person,PK,
5419,EU.2221.90,P,person,PK,
5420,EU.3732.76,P,person,RW,
5421,EU.3638.95,P,person,RW,
5422,EU.3640.85,P,person,RW,
5469,EU.4010.2,P,person,KP,
5475,EU.4097.56,P,person,KP,
5499,EU.2128.74,P,person,PK,
5529,EU.3298.47,P,person,IQ,
5609,EU.3711.12,P,person,SO,
5610,EU.3730.49,P,person,SO,
5616,EU.3738.60,P,person,SO,
5617,EU.2011.62,P,person,SO,
5620,EU.3710.47,P,person,SO,
5620,EU.3710.47,P,person,SE,
5621,EU.3739.25,P,person,SO,
5625,EU.1946.59,P,person,DZ,
5626,EU.1985.1,P,person,DZ,
5629,EU.3414.12,P,person,YE,
5754,EU.1841.75,P,person,IR,
5755,EU.1842.40,P,person,IR,
5757,EU.1843.5,P,person,IR,
5759,EU.1845.32,P,person,IR,
5793,EU.2291.0,P,person,AF,
5794,EU.2292.62,P,person,US,
5794,EU.2292.62,P,person,YE,
5795,EU.2272.60,P,person,AF,
5803,EU.2301.53,P,person,AF,
5804,EU.2337.40,P,person,AF,
5806,EU.3608.92,P,person,RW,
5807,EU.3734.6,P,person,RW,
5808,EU.3634.41,P,person,RW,
5809,EU.3650.86,P,person,CD,
5925,EU.2320.90,P,person,AF,
6017,EU.2393.89,P,person,AF,
6044,EU.3364.52,P,person,TN,
6045,EU.3365.17,P,person,TN,
6046,EU.3366.79,P,person,TN,
6047,EU.3367.44,P,person,TN,
6049,EU.3369.71,P,person,TN,Double nationality French and Tunisian
6049,EU.3369.71,P,person,FR,
6052,EU.3372.26,P,person,TN,
6053,EU.3389.73,P,person,TN,
6054,EU.3390.1,P,person,TN,
6056,EU.3392.28,P,person,TN,
6058,EU.3394.55,P,person,TN,
6059,EU.3395.20,P,person,TN,
6060,EU.3396.82,P,person,TN,
6061,EU.3397.47,P,person,TN,
6063,EU.3407.3,P,person,TN,
6064,EU.3408.65,P,person,TN,
6066,EU.3410.55,P,person,TN,
6068,EU.3412.82,P,person,TN,
6070,EU.3417.4,P,person,TN,
6073,EU.3420.56,P,person,TN,
6074,EU.3421.21,P,person,TN,
6076,EU.3423.48,P,person,TN,
6077,EU.3424.13,P,person,TN,
6078,EU.3425.75,P,person,TN,
6079,EU.3440.58,P,person,TN,
6080,EU.3441.23,P,person,TN,
6082,EU.3443.50,P,person,TN,
6084,EU.3445.77,P,person,TN,
6085,EU.3446.42,P,person,TN,
6089,EU.3449.34,P,person,TN,
6090,EU.3450.59,P,person,TN,
6125,EU.2557.69,P,person,RU,
6177,EU.3092.36,P,person,SA,
6209,EU.3458.70,P,person,IR,
6213,EU.3459.35,P,person,IR,
6218,EU.2960.78,P,person,IR,
6463,EU.2785.72,P,person,SA,
6463,EU.2785.72,P,person,YE,
6483,EU.2799.30,P,person,ID,
6484,EU.4057.52,P,person,ID,
6494,EU.2796.38,P,person,ID,
6515,EU.2800.10,P,person,PK,
6552,EU.3741.15,P,person,ET,Possibly Ethiopian
6553,EU.3753.43,P,person,US,
6563,EU.2670.87,P,person,MR,
6591,EU.3462.87,P,person,IR,
6593,EU.2786.37,P,person,IR,
6599,EU.3903.65,P,person,IR,
6612,EU.3311.55,P,person,IQ,
6613,EU.3748.61,P,person,AF,
6614,EU.3760.52,P,person,AF,
6617,EU.3570.26,P,person,IR,
6617,EU.3570.26,P,person,US,
6646,EU.2675.9,P,person,IR,
6648,EU.2677.36,P,person,IR,
6663,EU.2709.21,P,person,IR,
6665,EU.2711.11,P,person,IR,
6694,EU.3928.86,P,person,IR,
